replicas,virtual users,pod response,node response,failed rate
1,100,0.43778122962021415,6.520833333333172,0.00
1,250,0.4023124731338392,6.641666666666879,0.00
1,500,0.39625309076245974,6.8020833333332575,0.22
1,750,0.35861260556771996,6.739583333333783,1.27
1,1000,0.3748877398308361,6.768749999999571,3.80
1,1250,0.40611548788362883,6.22916666666697,6.52
2,100,0.4474890274935577,6.166666666667126,0.18
2,250,0.25168970862813667,6.629166666666606,0.00
2,500,0.23207114063216544,6.739583333333783,0.05
2,750,0.2125107849065742,6.781249999999844,0.39
2,1000,0.2162486620224593,6.770833333334096,1.99
2,1250,0.22624834887742887,6.764583333333576,5.05
3,100,0.2698065004437922,6.835416666667697,0.01
3,250,0.16413315359141523,6.714583333333252,0.00
3,500,0.17609500160773253,6.71875,0.04
3,750,0.16917556452100513,6.633333333333368,1.01
3,1000,0.14960909146476709,6.737500000000026,2.10
3,1250,0.17838705592925275,6.6937500000002075,3.44
3,1500,0.1803302303206714,6.831249999999429,8.32
